Event Name,AttendeeID,Event Start Date,Event Scheduled Start Time,Event Scheduled End Time,Event/Recording Scheduled Duration,Event Actual Start Time,Event Actual End Time,Event/Recording Actual Duration,User Type,Invited,Registered,Attended,Join Time,Leave Time,Attendance Duration,Attention to Duration ratio*,Attention to Attendance ratio**
Master the tidyverse - session 4: data types,123,"February 7, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:47 pm GMT,4:36 pm GMT,168.0 mins,Attendee,No,No,Yes,2:02 pm GMT,2:57 pm GMT,54.0 mins,4%,12%
Master the tidyverse - session 4: data types,16,"February 7, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:47 pm GMT,4:36 pm GMT,168.0 mins,Attendee,No,No,Yes,2:12 pm GMT,4:32 pm GMT,140.0 mins,21%,26%
Master the tidyverse - session 4: data types,91,"February 7, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:47 pm GMT,4:36 pm GMT,168.0 mins,Attendee,No,No,Yes,2:04 pm GMT,4:33 pm GMT,149.0 mins,2%,2%
Master the tidyverse - session 4: data types,91,"February 7, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:47 pm GMT,4:36 pm GMT,168.0 mins,Attendee,No,No,Yes,1:53 pm GMT,2:03 pm GMT,10.0 mins,0%,4%
Master the tidyverse - session 4: data types,29,"February 7, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:47 pm GMT,4:36 pm GMT,168.0 mins,Attendee,No,No,Yes,2:05 pm GMT,4:36 pm GMT,150.0 mins,11%,12%
Master the tidyverse - session 4: data types,127,"February 7, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:47 pm GMT,4:36 pm GMT,168.0 mins,Attendee,No,No,Yes,2:00 pm GMT,4:32 pm GMT,152.0 mins,73%,80%
Master the tidyverse - session 4: data types,107,"February 7, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:47 pm GMT,4:36 pm GMT,168.0 mins,Attendee,No,No,Yes,2:03 pm GMT,4:33 pm GMT,150.0 mins,38%,42%
Master the tidyverse - session 4: data types,24,"February 7, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:47 pm GMT,4:36 pm GMT,168.0 mins,Attendee,No,No,Yes,1:58 pm GMT,4:33 pm GMT,154.0 mins,65%,72%
Master the tidyverse - session 4: data types,95,"February 7, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:47 pm GMT,4:36 pm GMT,168.0 mins,Attendee,No,No,Yes,2:05 pm GMT,4:36 pm GMT,151.0 mins,36%,40%
Master the tidyverse - session 4: data types,101,"February 7, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:47 pm GMT,4:36 pm GMT,168.0 mins,Attendee,No,No,Yes,2:21 pm GMT,4:33 pm GMT,132.0 mins,10%,13%
Master the tidyverse - session 4: data types,30,"February 7, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:47 pm GMT,4:36 pm GMT,168.0 mins,Attendee,No,No,Yes,3:50 pm GMT,3:55 pm GMT,5.0 mins,0%,8%
Master the tidyverse - session 4: data types,3,"February 7, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:47 pm GMT,4:36 pm GMT,168.0 mins,Attendee,No,No,Yes,2:01 pm GMT,4:33 pm GMT,151.0 mins,4%,4%
